text,label
يا من يجرح دمعه اجفاني,"['love', 'sadness']"
السلام عليكم عزيزي المغرد العربي : اذا ما وقفت مع قضايا اخوانك العادلة في كل البلدان ، و مو فاهم وش قاعد يصير ل هم ، تقدر تنثبر و تفكنا منك ب دون ما تخونهم و تستبيح دمهم الله ياخذك اخذ عزيز مقتدر,"['anger', 'disgust']"
ادمنت روحك و غيرك ما اريد . 💫 # بغدادية ة IQIQ😌 💫 # ال جبور ✌🏻️😌,['love']
liked a video ثاني رد ناري من مرتضي منصور علي صفاء,['acceptance']
عباس النوري بدلا من جمال سليمان,['neutral']
يطول حلم السنين و ما ابي غيره يا رب الأحلام قل ل احلامنا كوني ..,['acceptance']
الورد اليومي,['neutral']
تصبحون على خير يا جماعه الخير,['acceptance']
اخاف اطاوع الشوق وأجيك وتردني .,"['sadness', 'fear']"
سيصادفك شيء طلبته من الله منذ زمن بعيد ربما نسيته لكن الله لم ينساه .,['acceptance']
# توماس _ موللر كان نجما بارزا في سباعية المانيا ضد البرازيل . و اليوم نجم المشهد في اكبر كارثة اوربية حلت ببرشلونة ! موللر قدم مباراة لاتنسى في تاريخه وحصل على اعلى درجة في تقييم الأداء 10 من 10!! مولر صنعه فان خال وقيده انشيلوتي ! اهمله جوارديولا ثم اعادثقته هانز فليك ! # برشلونة _ ميونخ,"['acceptance', 'surprise']"
كان يجبر خاطر الجميع املا ان يجبر خاطره يوما ما .,['acceptance']
حلق بأحلامك الى عنان السماء و ان لم يكن لديك اجنحة # بوحي # تصوير,"['anticipation', 'acceptance']"
هل قطع وكيل مازدا اغلى من وكيل هوندا ام العكس او متقاربه لبعضهما ب السعر ؟,['neutral']
و الله عيب الله يسامحك .,['sadness']
"غاري نيفيل ( لاعب مان يونايتد &amp ; محلل سكاي ): قد يكون هذا الموسم هو الذي سيحصل ف يه ليفربول على البريميرليغ , و علي ان انتقل الى بابوا غينيا الجديدة",['acceptance']
🌐 من اجل اعداد الأبحاث والأوراق العلميةبطريقة صحيحة وأكاديمية . يمكنك طلب فريقنا المختص ذو الخبرة المطولة في # اعداد _ الأوراق _ والأبحاث _ العلمية عبر الرابط التالي :👇✅ # arachiisiony,['neutral']
غالبا الكتب المأساوية بتتركك انسان مختلف عما كنت قبل قراءتها .. من المنطق انه الأسى مش هو الشيء الوحيد اللي بيعلمك وبيشكلك بس يمكن لأنه بجبرك تروح لأماكن ب نفسك انت ما جربتها و ما ب تعرف انها موجودة اصلا بخليك ما تنساه بالمرة .,['acceptance']
اللهم اشفه وعافه وانصره على من اعتدى عليه وزده يا رب هداية وصلاحا و توفيقا,['acceptance']
و على سبيل الأمنيات ، ليتني في كربلاء .. 💔,['sadness']
الحين في ( كمرات ) تصور كل شيء وبسرعة ! ماعرف ليه التباهي بالرسم !! احدهم يقول ( ارسم ) بشر وحيونات ! طيب و بعدين 🤔 في كمرات تصور وبفلتر كمان 😊 مو لازم تشغلنا انك رسام اذا نتج من رسمك اختراع جديد او علاج لمرض وقتها نفخر بك ونباهي !,"['surprise', 'disgust']"
انسدحي واتخيل الغنمات تعد من فوق راسك وعديه لين ما تنامي و اذا ما نمتي اتخيلي انها حتطيح عليكي ... كيف بس ما حليتها ؟,['acceptance']
النمل محوطني يا قماعة ،، ايه العمل :( ؟؟,['sadness']
# تعليق _ الدراسه _ في _ الطايف انا والعيال يوم درينا انهم عطونا اجازه 😂✋,['joy']
دائما كنت اسأل نفسي لماذا ملايين السعوديين والسعوديات يدافعون عن وطنهم ب الإعلام الجديد وهم يرون ان هذا واجب عليهم - هؤلاء السعوديون لا يلتفت ل هم ويمدحها اجنبي يطيرون ف يه لماذا ؟؟؟؟؟؟؟؟ . اخيرا وجدت الجواب الواضح البين ? حتى يقدح ب السعوديين و ان الأجنبي يدافع عن وطنهم اكثر منهم,['anger']
هذا بعد ما كسرت خاطري و الا هي ما تنتهي ‏ :,['sadness']
# شكرا _ مديرنا _ مديرتنا { شكرا قائدتي / جميلة غزاي ❤️} .. لأنك تفهم نفسياتنا لأنك تحترم انسانيتنا لأنك تفهم في النظام لأنك تقدر ظروفنا لأنك تحسن الظن ب نا لأنك تحفزنا وتشجعنا وتساعدنا لأنك صاحب قرار يخلو من مصالحك الشخصية لأنك دوما مبتسم وهادئ لأنك تتعامل مع الخطأ و ليس صاحب الخطأ,['acceptance']
مواطن بسيط بلخص الواقع بدقيقتين بس كان نفسي اسمع اللي تحت الطووط,['sadness']
فعلا الوقت طويل للمراجعه والماده قصيرة والدعايات سببت ارباك وقلق للطلاب,"['acceptance', 'disgust']"
المفترض يكون هناك لجنه فنيه تضم لاعبين سابقين ومدربين يكون ل ها دور في اختيار المدرب او تقييم الاسماء المطروحه بدل ان يبقى مصير المنتخب ب شخص خبراته قليله .. هيرفي رونار اصبح واقعا وطالما تم التعاقد معه فنرجو له التوفيق رغم ان سجله التدريبي اقل مما كنا نرجوه,"['acceptance', 'sadness']"
نعم ؟؟؟ مش فاهمه ؟؟ عريفى مين ؟؟,['surprise']
الأفضل مناشدة هيئة الطيران ل وقف رحلات العجاجي وطيران ناس والخطوط التركية واطلس التركية وشركة قو توفل . وشركة سما هل تعلم ان هذه الشركات تطلع من الرياض جدة الدمام والطايف ينبع القصيم المدينة مباشرة لطرابزون ومدينة اسمها اوردو في تركيا ؟! لاتلوم اللي ميت حر و يبي يودي عياله ل شي رخيص,['sadness']
# صورة متداولة لمخالفة قديمة قبل 88 سنة ب قيمة 10 قروش ، صادرة من مديرية الشرطة العامة ، ب حق احد المواطنين ب سبب حلق الل …,['neutral']
📸 | الكرة التي لمست يد روديغير في الوقت القاتل في لقاء ليستر s تشيلسي . • ركلة جزاء ام لا 🤔 ؟,['surprise']
ف يه احد نسخ البطاقة في احد المنافذ و قاعد يستخدمها,['neutral']
